Filename,VST,CEFR,CEFR_Number
W_THA_105.txt,29,B1_1,2
W_THA_113.txt,35,B1_1,2
W_JPN_119.txt,20,A2_0,1
W_CHN_063.txt,35,B1_1,2
W_CHN_077.txt,34,B1_1,2
W_CHN_088.txt,28,B1_1,2
W_TWN_192.txt,41,B1_1,2
W_SIN_079.txt,45,B1_2,3
W_TWN_179.txt,27,A2_0,1
W_THA_265.txt,16,A2_0,1
W_THA_259.txt,25,B1_1,2
W_JPN_284.txt,40,A2_0,1
W_JPN_290.txt,40,B1_1,2
W_KOR_021.txt,32,A2_0,1
W_CHN_117.txt,22,A2_0,1
W_KOR_237.txt,37,B2_0,4
W_JPN_093.txt,31,A2_0,1
W_JPN_044.txt,32,B1_1,2
W_JPN_291.txt,40,A2_0,1
W_THA_258.txt,21,A2_0,1
W_THA_270.txt,39,B1_2,3
W_SIN_093.txt,47,B2_0,4
W_SIN_087.txt,47,B2_0,4
W_THA_338.txt,28,B1_1,2
W_KOR_197.txt,30,A2_0,1
W_SIN_044.txt,47,B2_0,4
W_CHN_076.txt,30,B1_1,2
W_JPN_124.txt,20,A2_0,1
W_JPN_130.txt,20,A2_0,1
W_JPN_118.txt,20,A2_0,1
W_PAK_039.txt,37,B1_1,2
W_JPN_134.txt,29,A2_0,1
W_CHN_072.txt,23,A2_0,1
W_JPN_108.txt,20,A2_0,1
W_CHN_099.txt,24,A2_0,1
W_JPN_322.txt,29,B1_1,2
W_SIN_040.txt,45,B1_2,3
W_JPN_242.txt,21,A2_0,1
W_JPN_256.txt,26,B1_2,3
W_THA_260.txt,48,B2_0,4
W_JPN_281.txt,44,B1_1,2
W_KOR_024.txt,42,B1_2,3
W_JPN_083.txt,33,A2_0,1
W_KOR_227.txt,30,B2_0,4
W_JPN_069.txt,32,B2_0,4
W_THA_063.txt,18,A2_0,1
W_CHN_113.txt,30,B1_1,2
W_JPN_041.txt,40,B2_0,4
W_KOR_031.txt,38,A2_0,1
W_SIN_121.txt,46,B1_2,3
W_THA_275.txt,44,B1_2,3
W_THA_249.txt,42,B1_2,3
W_JPN_243.txt,22,B1_1,2
W_KOR_145.txt,30,A2_0,1
W_SIN_055.txt,45,B1_2,3
W_SIN_041.txt,43,B1_2,3
W_SIN_069.txt,46,B1_2,3
W_JPN_337.txt,18,B1_1,2
W_HKG_027.txt,33,B2_0,4
W_THA_103.txt,34,A2_0,1
W_JPN_109.txt,20,A2_0,1
W_JPN_135.txt,23,A2_0,1
W_JPN_123.txt,23,B1_1,2
W_JPN_137.txt,32,B1_2,3
W_JPN_321.txt,26,B1_1,2
W_SIN_057.txt,46,B1_2,3
W_TWN_180.txt,36,B2_0,4
W_JPN_309.txt,50,B1_2,3
W_THA_317.txt,22,A2_0,1
W_SIN_123.txt,47,B2_0,4
W_KOR_033.txt,40,B1_1,2
W_TWN_037.txt,25,A2_0,1
W_CHN_105.txt,31,B1_1,2
W_THA_049.txt,38,B1_2,3
W_JPN_057.txt,34,B1_1,2
W_KOR_231.txt,44,B2_0,4
W_KOR_219.txt,43,B2_0,4
W_CHN_138.txt,29,B1_1,2
W_CHN_104.txt,28,B1_1,2
W_IDN_059.txt,33,B1_1,2
W_THA_289.txt,27,B1_1,2
W_SIN_136.txt,44,B1_2,3
W_THA_276.txt,34,B1_1,2
W_THA_316.txt,30,B1_1,2
W_JPN_308.txt,44,B1_2,3
W_THA_302.txt,25,B1_1,2
W_THA_114.txt,24,A2_0,1
W_THA_128.txt,31,B1_1,2
W_CHN_064.txt,24,A2_0,1
W_JPN_122.txt,23,B1_1,2
W_THA_167.txt,21,A2_0,1
W_HKG_094.txt,39,B1_2,3
W_JPN_151.txt,24,A2_0,1
W_JPN_192.txt,21,A2_0,1
W_THA_365.txt,15,A2_0,1
W_SIN_151.txt,47,B2_0,4
W_SIN_179.txt,45,B1_2,3
W_TWN_045.txt,40,B1_1,2
W_SIN_186.txt,45,B1_2,3
W_SIN_192.txt,45,B1_2,3
W_KOR_041.txt,29,B1_1,2
W_THA_013.txt,22,A2_0,1
W_JPN_019.txt,39,B1_2,3
W_JPN_031.txt,44,B1_2,3
