filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,mattr50_cw_TAALED,av_nominal_deps_TAASSC,amod_all_nominal_deps_struct_TAASSC,prep_all_nominal_deps_struct_TAASSC,mag_av_delta_p_verb_cue_type_TAASSC,MLC_TAASSC,CN_C_TAASSC
W_CHN_145.txt,CHN,28,B1_1,2,3.882925664,2.583417584,0.046666667,2.747831858,614.9714732,0.712506887,0.677677419,0.985074627,0.298507463,0.082089552,0.052001124,9,1.08
W_JPN_003.txt,JPN,34,A2_0,1,3.860108475,2.465687119,0.013888889,3.234937238,614.8220851,0.708647059,0.724320988,0.790849673,0.098039216,0.14379085,0.021743866,7.2,0.75
W_SIN_163.txt,SIN,45,B1_2,3,3.516337407,2.254993441,0.051330798,3.020674157,626.3289963,0.744391304,0.71872549,0.689873418,0.17721519,0.094936709,0.031190755,8.915254237,0.86440678
W_THA_237.txt,THA,44,B1_2,3,4.174339013,2.610502596,0.016746411,3.01454955,612.5325561,0.744911243,0.727703704,0.634482759,0.124137931,0.075862069,0.022567399,7.084745763,0.677966102
W_THA_223.txt,THA,44,B1_2,3,4.160969492,2.627935779,0.013392857,2.923373984,604.8426068,0.735689655,0.753289474,0.75,0.121621622,0.087837838,0.01674886,7.842105263,0.736842105
W_JPN_215.txt,JPN,21,B1_1,2,3.89467973,2.521987652,0.023201856,3.055619469,610.9468182,0.777463977,0.752483221,0.829268293,0.178861789,0.105691057,0.022822563,10.30952381,1.19047619
W_CHN_353.txt,CHN,38,B2_0,4,3.781923109,2.402536648,0.047311828,3.023744856,622.7320588,0.80112,0.834878049,0.818181818,0.223776224,0.062937063,0.026316097,8.773584906,1.188679245
W_KOR_113.txt,KOR,42,A2_0,1,3.672692887,2.392325667,0.032822757,2.914152542,618.1010593,0.736613757,0.828275862,0.864,0.128,0.136,0.013363027,10.15555556,0.977777778
W_THA_343.txt,THA,33,B1_1,2,4.149579508,2.629708724,0.017777778,3.003770492,605.3589256,0.728647215,0.715102041,0.718309859,0.14084507,0.063380282,0.031543532,7.03125,0.59375
W_THA_357.txt,THA,46,B1_2,3,3.940057244,2.525595698,0.025896414,3.020627178,617.7062633,0.730696517,0.692631579,0.87755102,0.170068027,0.115646259,0.017405258,8.807017544,1.01754386
W_IDN_193.txt,IDN,41,A2_0,1,3.547119331,2.333371224,0.057569296,3.234344569,625.5844615,0.742395833,0.735795455,1.099337748,0.152317881,0.145695364,0.02768147,9.38,1.04
W_HKG_071.txt,HKG,43,B1_2,3,3.676451737,2.438315221,0.04526749,3.10859375,619.4288095,0.749925187,0.713707865,1.116438356,0.205479452,0.109589041,0.035954812,10.34042553,1.234042553
W_HKG_065.txt,HKG,44,B2_0,4,3.521183214,2.295429235,0.062124248,2.949350181,632.9184559,0.771360382,0.775544554,1.303448276,0.296551724,0.193103448,0.019092041,11.9047619,1.619047619
W_THA_155.txt,THA,21,A2_0,1,4.140304651,2.678605652,0.022172949,3.010192308,606.2703488,0.785322581,0.750943396,0.621621622,0.121621622,0.101351351,0.01819349,7.516666667,0.6
W_JPN_163.txt,JPN,23,A2_0,1,4.016122917,2.524952844,0.028824834,3.122697095,607.2535,0.728858696,0.693630573,0.796052632,0.111842105,0.078947368,0.022029679,7.912280702,1
W_THA_169.txt,THA,22,A2_0,1,4.244863592,2.643331109,0.015,2.834417476,615.7269082,0.732176656,0.819454545,0.85483871,0.153225806,0.161290323,0.026883642,7.290909091,0.690909091
W_JPN_177.txt,JPN,29,B1_2,3,3.903689744,2.473731489,0.025821596,3.110210084,612.9542918,0.725443787,0.718807947,0.705882353,0.154411765,0.073529412,0.018281642,7.1,0.716666667
W_JPN_161.txt,JPN,21,A2_0,1,3.925030263,2.540041521,0.009174312,3.187914894,609.7060811,0.7336875,0.716056338,0.633802817,0.154929577,0.077464789,0.021230473,7.266666667,0.7
W_CHN_027.txt,CHN,28,B1_1,2,3.905665066,2.533357503,0.047281324,2.96995671,614.8627074,0.745823529,0.790612245,0.738461538,0.184615385,0.107692308,0.016428829,7.310344828,0.793103448
W_JPN_175.txt,JPN,19,B1_1,2,3.784884071,2.39828368,0.035629454,3.15209607,615.1998206,0.772959502,0.765517241,0.753731343,0.149253731,0.111940299,0.027345184,7.13559322,0.847457627
W_THA_157.txt,THA,45,B1_2,3,3.712680137,2.423471732,0.056751468,3.118020478,619.4855208,0.748084112,0.734881517,1.017857143,0.208333333,0.130952381,0.025568956,9.309090909,1.2
W_JPN_149.txt,JPN,26,B1_1,2,3.924132245,2.491165511,0.028017241,2.972539683,613.0640417,0.801127596,0.773421053,0.652777778,0.104166667,0.083333333,0.023776318,6.724637681,0.594202899
