filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,hdd42_aw_TAALED,mtld_original_aw
W_THA_140.txt,THA,20,A2_0,1,3.785670833,2.476720061,0.033653846,2.97593361,619.312,0.785337423,0.835276967,72.54884873
W_THA_183.txt,THA,23,A2_0,1,4.293624701,2.749706298,0.029268293,2.880156863,601.15848,0.668271605,0.759905676,34.26510329
W_JPN_374.txt,JPN,30,B1_1,2,3.916369257,2.506045111,0.015734266,2.9527,614.3323986,0.752175732,0.831602157,56.86156768
W_CHN_232.txt,CHN,38,B1_1,2,3.667377288,2.366830841,0.049115914,2.980733333,624.4668601,0.766761905,0.822360951,69.1247173
W_JPN_348.txt,JPN,25,B1_1,2,3.7655364,2.433783342,0.030588235,3.488031496,613.6663052,0.715549133,0.842338068,56.38392857
W_SIN_002.txt,SIN,44,B1_2,3,3.404973188,2.230397337,0.085889571,2.903455882,639.4604015,0.785227818,0.824488534,71.7448411
W_THA_342.txt,THA,42,A2_0,1,3.615536364,2.335058876,0.061135371,2.927419355,631.0935628,0.784141689,0.835980588,68.83560121
W_TWN_102.txt,TWN,45,B1_1,2,4.000206912,2.603158114,0.011764706,3.056768559,613.512757,0.789728097,0.83744228,76.3125
W_JPN_200.txt,JPN,25,B1_1,2,3.962472692,2.602053847,0.031128405,2.931910112,607.5839216,0.769746193,0.818064228,63.26687031
W_JPN_214.txt,JPN,23,A2_0,1,3.740239594,2.421029388,0.023640662,3.104536585,610.0445641,0.751038576,0.80299385,47.3697644
W_THA_222.txt,THA,15,A2_0,1,3.962371364,2.491337701,0.023923445,3.014162896,618.6141364,0.736559767,0.7921024,50.56103211
W_SIN_162.txt,SIN,46,B1_2,3,3.402349827,2.222051508,0.053264605,3.077412587,625.7393357,0.774233129,0.807069919,68.55827402
W_JPN_228.txt,JPN,20,A2_0,1,3.791458996,2.400701043,0.019277108,3.178969957,601.3173391,0.672592593,0.800062233,41.95780091
W_JPN_002.txt,JPN,33,B1_2,3,4.032680296,2.606715563,0.024193548,3.210666667,602.6566502,0.624761905,0.72303842,33.90521327
W_CHN_144.txt,CHN,32,B1_1,2,4.002211877,2.582747059,0.037475345,2.851877395,621.9248077,0.748240741,0.794401023,57.65974146
W_JPN_016.txt,JPN,34,B1_2,3,3.95834574,2.452605739,0.034313725,2.900542986,615.5929596,0.718215385,0.79644021,49.09048471
W_THA_034.txt,THA,40,B1_2,3,3.853739063,2.468032592,0.030634573,3.080996169,619.5778175,0.710246575,0.81543049,42.3315934
W_CHN_187.txt,CHN,35,B1_1,2,3.689446383,2.345897899,0.044491525,3.08185654,622.448319,0.757959184,0.814524562,60.51317314
W_KOR_259.txt,KOR,44,B2_0,4,3.818145122,2.448329041,0.054216867,2.974979424,618.0961633,0.797113924,0.832066637,69.66410187
W_CHN_145.txt,CHN,28,B1_1,2,3.882925664,2.583417584,0.046666667,2.747831858,614.9714732,0.712506887,0.774737154,48.26973419
W_JPN_003.txt,JPN,34,A2_0,1,3.860108475,2.465687119,0.013888889,3.234937238,614.8220851,0.708647059,0.784205792,49.76796972
